"YEAR","STORAGE","REGION","Val"
"2015","EV_BAT","ATX",3.6E-5
"2016","EV_BAT","ATX",3.24E-5
"2017","EV_BAT","ATX",2.88E-5
"2018","EV_BAT","ATX",2.52E-5
"2019","EV_BAT","ATX",2.16E-5
"2020","EV_BAT","ATX",1.8E-5
"2021","EV_BAT","ATX",1.44E-5
"2022","EV_BAT","ATX",1.08E-5
"2023","EV_BAT","ATX",7.2E-6
"2024","EV_BAT","ATX",3.6E-6
