"TIMESLICE"
"W1"
"W2"
"W3"
"W4"
"W5"
"W21"
"W22"
"W23"
"W24"
"SF1"
"SF2"
"SF3"
"SF4"
"SF5"
"SF21"
"SF22"
"SF23"
"SF24"
"S1"
"S2"
"S3"
"S4"
"S5"
"S21"
"S22"
"S23"
"S24"
