"REGION","TECHNOLOGY","STORAGE","MODE_OF_OPERATION","Val"
"ATX","BATTERY","BAT","1",1
"ATX","V2G","EV_BAT","1",1
"ATX","EV_DISCHARGE","EV_BAT","1",1
"ATX","V2G_F","EV_BAT_F","1",1
"ATX","EV_DISCHARGE_F","EV_BAT_F","1",1
