scenario,quantity,region,technology,year,season,timeslice,value
1,Electricity Production,ATX,NUCPP,2020,WINTER,W24,0.14
1,Electricity Production,ATX,HYDROPP,2020,WINTER,W1,0.0
1,Electricity Production,ATX,HYDROPP,2020,WINTER,W2,0.0
1,Electricity Production,ATX,HYDROPP,2020,WINTER,W3,0.0
1,Electricity Production,ATX,HYDROPP,2020,WINTER,W4,0.0
1,Electricity Production,ATX,HYDROPP,2020,WINTER,W5,0.0
1,Electricity Production,ATX,HYDROPP,2020,WINTER,W6,0.0
1,Electricity Production,ATX,HYDROPP,2020,WINTER,W7,0.0
1,Electricity Production,ATX,HYDROPP,2020,WINTER,W8,0.0
1,Electricity Production,ATX,HYDROPP,2020,WINTER,W9,0.0
1,Electricity Production,ATX,HYDROPP,2020,WINTER,W10,0.0
1,Electricity Production,ATX,HYDROPP,2020,WINTER,W11,0.0
1,Electricity Production,ATX,HYDROPP,2020,WINTER,W12,0.0
1,Electricity Production,ATX,HYDROPP,2020,WINTER,W13,0.0
1,Electricity Production,ATX,HYDROPP,2020,WINTER,W14,0.0
1,Electricity Production,ATX,HYDROPP,2020,WINTER,W15,0.0
1,Electricity Production,ATX,HYDROPP,2020,WINTER,W16,0.0
1,Electricity Production,ATX,HYDROPP,2020,WINTER,W17,0.0
1,Electricity Production,ATX,HYDROPP,2020,WINTER,W18,0.0
1,Electricity Production,ATX,HYDROPP,2020,WINTER,W19,0.0
1,Electricity Production,ATX,HYDROPP,2020,WINTER,W20,0.0
1,Electricity Production,ATX,HYDROPP,2020,WINTER,W21,0.0
1,Electricity Production,ATX,HYDROPP,2020,WINTER,W22,0.0
1,Electricity Production,ATX,HYDROPP,2020,WINTER,W23,0.0
1,Electricity Production,ATX,HYDROPP,2020,WINTER,W24,0.0
1,Electricity Production,ATX,WINDPP,2020,WINTER,W1,0.1
1,Electricity Production,ATX,WINDPP,2020,WINTER,W2,0.1
1,Electricity Production,ATX,WINDPP,2020,WINTER,W3,0.1
1,Electricity Production,ATX,WINDPP,2020,WINTER,W4,0.1
1,Electricity Production,ATX,WINDPP,2020,WINTER,W5,0.1
1,Electricity Production,ATX,WINDPP,2020,WINTER,W6,0.1
1,Electricity Production,ATX,WINDPP,2020,WINTER,W7,0.1
1,Electricity Production,ATX,WINDPP,2020,WINTER,W8,0.1
1,Electricity Production,ATX,WINDPP,2020,WINTER,W9,0.09
1,Electricity Production,ATX,WINDPP,2020,WINTER,W10,0.09
1,Electricity Production,ATX,WINDPP,2020,WINTER,W11,0.08
1,Electricity Production,ATX,WINDPP,2020,WINTER,W12,0.08
1,Electricity Production,ATX,WINDPP,2020,WINTER,W13,0.08
1,Electricity Production,ATX,WINDPP,2020,WINTER,W14,0.08
1,Electricity Production,ATX,WINDPP,2020,WINTER,W15,0.08
1,Electricity Production,ATX,WINDPP,2020,WINTER,W16,0.08
1,Electricity Production,ATX,WINDPP,2020,WINTER,W17,0.08
1,Electricity Production,ATX,WINDPP,2020,WINTER,W18,0.08
1,Electricity Production,ATX,WINDPP,2020,WINTER,W19,0.08
1,Electricity Production,ATX,WINDPP,2020,WINTER,W20,0.09
1,Electricity Production,ATX,WINDPP,2020,WINTER,W21,0.09
1,Electricity Production,ATX,WINDPP,2020,WINTER,W22,0.1
1,Electricity Production,ATX,WINDPP,2020,WINTER,W23,0.1
1,Electricity Production,ATX,WINDPP,2020,WINTER,W24,0.1
1,Electricity Production,ATX,SOLPP,2020,WINTER,W1,0.0
1,Electricity Production,ATX,SOLPP,2020,WINTER,W2,0.0
1,Electricity Production,ATX,SOLPP,2020,WINTER,W3,0.0
1,Electricity Production,ATX,SOLPP,2020,WINTER,W4,0.0
1,Electricity Production,ATX,SOLPP,2020,WINTER,W5,0.0
1,Electricity Production,ATX,SOLPP,2020,WINTER,W6,0.0
1,Electricity Production,ATX,SOLPP,2020,WINTER,W7,0.0
1,Electricity Production,ATX,SOLPP,2020,WINTER,W8,0.0
1,Electricity Production,ATX,SOLPP,2020,WINTER,W9,0.02
1,Electricity Production,ATX,SOLPP,2020,WINTER,W10,0.05
1,Electricity Production,ATX,SOLPP,2020,WINTER,W11,0.07
1,Electricity Production,ATX,SOLPP,2020,WINTER,W12,0.09
1,Electricity Production,ATX,SOLPP,2020,WINTER,W13,0.09
1,Electricity Production,ATX,SOLPP,2020,WINTER,W14,0.09
1,Electricity Production,ATX,SOLPP,2020,WINTER,W15,0.08
1,Electricity Production,ATX,SOLPP,2020,WINTER,W16,0.06
1,Electricity Production,ATX,SOLPP,2020,WINTER,W17,0.04
1,Electricity Production,ATX,SOLPP,2020,WINTER,W18,0.01
1,Electricity Production,ATX,SOLPP,2020,WINTER,W19,0.0
1,Electricity Production,ATX,SOLPP,2020,WINTER,W20,0.0
1,Electricity Production,ATX,SOLPP,2020,WINTER,W21,0.0
1,Electricity Production,ATX,SOLPP,2020,WINTER,W22,0.0
1,Electricity Production,ATX,SOLPP,2020,WINTER,W23,0.0
1,Electricity Production,ATX,SOLPP,2020,WINTER,W24,0.0
1,Electricity Production,ATX,BIOPP,2020,WINTER,W1,0.0
1,Electricity Production,ATX,BIOPP,2020,WINTER,W2,0.0
1,Electricity Production,ATX,BIOPP,2020,WINTER,W3,0.0
1,Electricity Production,ATX,BIOPP,2020,WINTER,W4,0.0
1,Electricity Production,ATX,BIOPP,2020,WINTER,W5,0.0
1,Electricity Production,ATX,BIOPP,2020,WINTER,W6,0.0
1,Electricity Production,ATX,BIOPP,2020,WINTER,W7,0.0
1,Electricity Production,ATX,BIOPP,2020,WINTER,W8,0.0
1,Electricity Production,ATX,BIOPP,2020,WINTER,W9,0.0
1,Electricity Production,ATX,BIOPP,2020,WINTER,W10,0.0
1,Electricity Production,ATX,BIOPP,2020,WINTER,W11,0.0
1,Electricity Production,ATX,BIOPP,2020,WINTER,W12,0.0
1,Electricity Production,ATX,BIOPP,2020,WINTER,W13,0.0
1,Electricity Production,ATX,BIOPP,2020,WINTER,W14,0.0
1,Electricity Production,ATX,BIOPP,2020,WINTER,W15,0.0
1,Electricity Production,ATX,BIOPP,2020,WINTER,W16,0.0
1,Electricity Production,ATX,BIOPP,2020,WINTER,W17,0.0
1,Electricity Production,ATX,BIOPP,2020,WINTER,W18,0.0
1,Electricity Production,ATX,BIOPP,2020,WINTER,W19,0.0
1,Electricity Production,ATX,BIOPP,2020,WINTER,W20,0.0
1,Electricity Production,ATX,BIOPP,2020,WINTER,W21,0.0
1,Electricity Production,ATX,BIOPP,2020,WINTER,W22,0.0
1,Electricity Production,ATX,BIOPP,2020,WINTER,W23,0.0
1,Electricity Production,ATX,BIOPP,2020,WINTER,W24,0.0
1,Electricity Production,ATX,CCCCSPP,2020,WINTER,W1,0.0
1,Electricity Production,ATX,CCCCSPP,2020,WINTER,W2,0.0
1,Electricity Production,ATX,CCCCSPP,2020,WINTER,W3,0.0
1,Electricity Production,ATX,CCCCSPP,2020,WINTER,W4,0.0
1,Electricity Production,ATX,CCCCSPP,2020,WINTER,W5,0.0
1,Electricity Production,ATX,CCCCSPP,2020,WINTER,W6,0.0
1,Electricity Production,ATX,CCCCSPP,2020,WINTER,W7,0.0
1,Electricity Production,ATX,CCCCSPP,2020,WINTER,W8,0.0
1,Electricity Production,ATX,CCCCSPP,2020,WINTER,W9,0.0
1,Electricity Production,ATX,CCCCSPP,2020,WINTER,W10,0.0
1,Electricity Production,ATX,CCCCSPP,2020,WINTER,W11,0.0
1,Electricity Production,ATX,CCCCSPP,2020,WINTER,W12,0.0
1,Electricity Production,ATX,CCCCSPP,2020,WINTER,W13,0.0
1,Electricity Production,ATX,CCCCSPP,2020,WINTER,W14,0.0
1,Electricity Production,ATX,CCCCSPP,2020,WINTER,W15,0.0
1,Electricity Production,ATX,CCCCSPP,2020,WINTER,W16,0.0
1,Electricity Production,ATX,CCCCSPP,2020,WINTER,W17,0.0
1,Electricity Production,ATX,CCCCSPP,2020,WINTER,W18,0.0
1,Electricity Production,ATX,CCCCSPP,2020,WINTER,W19,0.0
1,Electricity Production,ATX,CCCCSPP,2020,WINTER,W20,0.0
1,Electricity Production,ATX,CCCCSPP,2020,WINTER,W21,0.0
1,Electricity Production,ATX,CCCCSPP,2020,WINTER,W22,0.0
1,Electricity Production,ATX,CCCCSPP,2020,WINTER,W23,0.0
1,Electricity Production,ATX,CCCCSPP,2020,WINTER,W24,0.0
1,Electricity Production,ATX,IGCCCCSPP,2020,WINTER,W1,0.0
1,Electricity Production,ATX,IGCCCCSPP,2020,WINTER,W2,0.0
1,Electricity Production,ATX,IGCCCCSPP,2020,WINTER,W3,0.0
1,Electricity Production,ATX,IGCCCCSPP,2020,WINTER,W4,0.0
1,Electricity Production,ATX,IGCCCCSPP,2020,WINTER,W5,0.0
1,Electricity Production,ATX,IGCCCCSPP,2020,WINTER,W6,0.0
1,Electricity Production,ATX,IGCCCCSPP,2020,WINTER,W7,0.0
1,Electricity Production,ATX,IGCCCCSPP,2020,WINTER,W8,0.0
1,Electricity Production,ATX,IGCCCCSPP,2020,WINTER,W9,0.0
1,Electricity Production,ATX,IGCCCCSPP,2020,WINTER,W10,0.0
1,Electricity Production,ATX,IGCCCCSPP,2020,WINTER,W11,0.0
1,Electricity Production,ATX,IGCCCCSPP,2020,WINTER,W12,0.0
1,Electricity Production,ATX,IGCCCCSPP,2020,WINTER,W13,0.0
1,Electricity Production,ATX,IGCCCCSPP,2020,WINTER,W14,0.0
1,Electricity Production,ATX,IGCCCCSPP,2020,WINTER,W15,0.0
1,Electricity Production,ATX,IGCCCCSPP,2020,WINTER,W16,0.0
1,Electricity Production,ATX,IGCCCCSPP,2020,WINTER,W17,0.0
1,Electricity Production,ATX,IGCCCCSPP,2020,WINTER,W18,0.0
1,Electricity Production,ATX,IGCCCCSPP,2020,WINTER,W19,0.0
1,Electricity Production,ATX,IGCCCCSPP,2020,WINTER,W20,0.0
1,Electricity Production,ATX,IGCCCCSPP,2020,WINTER,W21,0.0
1,Electricity Production,ATX,IGCCCCSPP,2020,WINTER,W22,0.0
1,Electricity Production,ATX,IGCCCCSPP,2020,WINTER,W23,0.0
1,Electricity Production,ATX,IGCCCCSPP,2020,WINTER,W24,0.0
1,Electricity Production,ATX,H2FUELCELL,2020,WINTER,W1,0.0
1,Electricity Production,ATX,H2FUELCELL,2020,WINTER,W2,0.0
1,Electricity Production,ATX,H2FUELCELL,2020,WINTER,W3,0.0
1,Electricity Production,ATX,H2FUELCELL,2020,WINTER,W4,0.0
1,Electricity Production,ATX,H2FUELCELL,2020,WINTER,W5,0.0
1,Electricity Production,ATX,H2FUELCELL,2020,WINTER,W6,0.0
1,Electricity Production,ATX,H2FUELCELL,2020,WINTER,W7,0.0
1,Electricity Production,ATX,H2FUELCELL,2020,WINTER,W8,0.0
1,Electricity Production,ATX,H2FUELCELL,2020,WINTER,W9,0.0
1,Electricity Production,ATX,H2FUELCELL,2020,WINTER,W10,0.0
1,Electricity Production,ATX,H2FUELCELL,2020,WINTER,W11,0.0
1,Electricity Production,ATX,H2FUELCELL,2020,WINTER,W12,0.0
1,Electricity Production,ATX,H2FUELCELL,2020,WINTER,W13,0.0
1,Electricity Production,ATX,H2FUELCELL,2020,WINTER,W14,0.0
1,Electricity Production,ATX,H2FUELCELL,2020,WINTER,W15,0.0
1,Electricity Production,ATX,H2FUELCELL,2020,WINTER,W16,0.0
1,Electricity Production,ATX,H2FUELCELL,2020,WINTER,W17,0.0
1,Electricity Production,ATX,H2FUELCELL,2020,WINTER,W18,0.0
1,Electricity Production,ATX,H2FUELCELL,2020,WINTER,W19,0.0
1,Electricity Production,ATX,H2FUELCELL,2020,WINTER,W20,0.0
1,Electricity Production,ATX,H2FUELCELL,2020,WINTER,W21,0.0
1,Electricity Production,ATX,H2FUELCELL,2020,WINTER,W22,0.0
1,Electricity Production,ATX,H2FUELCELL,2020,WINTER,W23,0.0
1,Electricity Production,ATX,H2FUELCELL,2020,WINTER,W24,0.0
1,Electricity Production,ATX,BATTERY,2020,WINTER,W1,0.0
1,Electricity Production,ATX,BATTERY,2020,WINTER,W2,0.0
1,Electricity Production,ATX,BATTERY,2020,WINTER,W3,0.0
1,Electricity Production,ATX,BATTERY,2020,WINTER,W4,0.0
1,Electricity Production,ATX,BATTERY,2020,WINTER,W5,0.0
1,Electricity Production,ATX,BATTERY,2020,WINTER,W6,0.0
1,Electricity Production,ATX,BATTERY,2020,WINTER,W7,0.0
1,Electricity Production,ATX,BATTERY,2020,WINTER,W8,0.0
1,Electricity Production,ATX,BATTERY,2020,WINTER,W9,0.0
1,Electricity Production,ATX,BATTERY,2020,WINTER,W10,0.0
1,Electricity Production,ATX,BATTERY,2020,WINTER,W11,0.0
1,Electricity Production,ATX,BATTERY,2020,WINTER,W12,0.0
1,Electricity Production,ATX,BATTERY,2020,WINTER,W13,0.0
1,Electricity Production,ATX,BATTERY,2020,WINTER,W14,0.0
1,Electricity Production,ATX,BATTERY,2020,WINTER,W15,0.0
1,Electricity Production,ATX,BATTERY,2020,WINTER,W16,0.0
1,Electricity Production,ATX,BATTERY,2020,WINTER,W17,0.0
1,Electricity Production,ATX,BATTERY,2020,WINTER,W18,0.0
1,Electricity Production,ATX,BATTERY,2020,WINTER,W19,0.0
1,Electricity Production,ATX,BATTERY,2020,WINTER,W20,0.0
1,Electricity Production,ATX,BATTERY,2020,WINTER,W21,0.0
1,Electricity Production,ATX,BATTERY,2020,WINTER,W22,0.0
1,Electricity Production,ATX,BATTERY,2020,WINTER,W23,0.0
1,Electricity Production,ATX,BATTERY,2020,WINTER,W24,0.0
1,Electricity Production,ATX,EV_CHARGE,2020,WINTER,W1,0.01
1,Electricity Production,ATX,EV_CHARGE,2020,WINTER,W2,0.0
1,Electricity Production,ATX,EV_CHARGE,2020,WINTER,W3,0.0
1,Electricity Production,ATX,EV_CHARGE,2020,WINTER,W4,0.0
1,Electricity Production,ATX,EV_CHARGE,2020,WINTER,W5,0.0
1,Electricity Production,ATX,EV_CHARGE,2020,WINTER,W6,0.0
1,Electricity Production,ATX,EV_CHARGE,2020,WINTER,W7,0.0
1,Electricity Production,ATX,EV_CHARGE,2020,WINTER,W8,0.0
1,Electricity Production,ATX,EV_CHARGE,2020,WINTER,W9,0.0
1,Electricity Production,ATX,EV_CHARGE,2020,WINTER,W10,0.0
1,Electricity Production,ATX,EV_CHARGE,2020,WINTER,W11,0.0
1,Electricity Production,ATX,EV_CHARGE,2020,WINTER,W12,0.0
1,Electricity Production,ATX,EV_CHARGE,2020,WINTER,W13,0.0
1,Electricity Production,ATX,EV_CHARGE,2020,WINTER,W14,0.0
1,Electricity Production,ATX,EV_CHARGE,2020,WINTER,W15,0.0
